name	region	
KEXV01012095|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01012074|Brazil|MatoGrossoDoSul|2015-01-15	Centro-Oeste-BR	
KEXV01033894|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033313|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033321|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01035781|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01033829|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01035532|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01035574|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01033376|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033774|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033363|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033385|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033800|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033929|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01035569|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01033807|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033932|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033310|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033390|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033850|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033375|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033925|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033885|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033877|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033781|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033866|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033343|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01033772|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033798|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033840|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033912|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01035554|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01035582|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01035780|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01033793|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033903|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01035531|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01035580|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01035736|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01033875|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01035730|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01035754|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01035769|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01035770|Brazil|MatoGrosso|2016-01-15	Centro-Oeste-BR	
KEXV01035521|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01033309|Brazil|DistritoFederal|2016-01-15	Centro-Oeste-BR	
KEXV01035572|Brazil|MatoGrossoDoSul|2016-01-15	Centro-Oeste-BR	
KEXV01033814|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01033948|Brazil|Goias|2016-01-15	Centro-Oeste-BR	
KEXV01034043|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034151|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01035920|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01034076|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034060|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034068|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01033471|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01033516|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01033421|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01034112|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01035686|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01034176|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01033502|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01035688|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035681|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01035835|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035905|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035640|Brazil|MatoGrossoDoSul|2017-01-15	Centro-Oeste-BR	
KEXV01034166|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034073|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034083|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034024|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01035873|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01035939|Brazil|MatoGrosso|2017-01-15	Centro-Oeste-BR	
KEXV01034179|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034027|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034177|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034030|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01033985|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01033493|Brazil|DistritoFederal|2017-01-15	Centro-Oeste-BR	
KEXV01034160|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034113|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
KEXV01034104|Brazil|Goias|2017-01-15	Centro-Oeste-BR	
